domain,original_record,preprocessed_text,cluster,PC1,PC2,distance_to_centroid
apartment rental,apartment rental,apartment rental,1,-0.021533916,-0.012600909,0.0407135
commercial property,commercial property,commercial property,1,-0.03717627,-0.012090916,0.04233906
real estate agents,real estate agents,real estate agent,2,0.030419933,0.005236517,0.04589162
construction services,construction services,construction service,2,0.047793537,-0.013778149,0.028943123
home construction,home construction,home construction,3,-0.0023565143,-0.003397786,0.043398768
interior design,interior design,interior design,3,-0.006245913,-0.0071872952,0.055149645
architecture services,architecture services,architecture service,2,0.044676203,-0.011194704,0.030212186
home renovation,home renovation,home renovation,0,-0.0012527547,0.006192897,0.04099559
plumbing services,plumbing services,plumbing service,2,0.040468063,-0.013706971,0.029048745
electrical services,electrical services,electrical service,2,0.043294426,-0.011823604,0.032055803
cleaning services,cleaning services,cleaning service,2,0.035949167,-0.009816844,0.03322069
security services,security services,security service,2,0.07357195,0.009582887,0.03976079
automotive services,automotive services,automotive service,2,0.0387193,-0.006365204,0.029995691
car repair,car repair,car repair,3,-0.016009973,0.0007801679,0.041291866
car maintenance,car maintenance,car maintenance,3,-0.011934441,0.004198638,0.045018144
car rental,car rental,car rental,0,0.015695976,0.0017403698,0.042846553
used cars,used cars,used car,3,-0.0143397525,0.0071654506,0.043844704
new cars,new cars,new car,3,-0.008012328,0.00917931,0.040537063
car dealerships,car dealerships,car dealership,3,-0.012967994,0.00307453,0.044822786
auto insurance,auto insurance,auto insurance,1,-0.022254331,-0.0014566164,0.04637523
vehicle tracking,vehicle tracking,vehicle tracking,3,-0.0034927719,0.0034347132,0.046805877
electric vehicles,electric vehicles,electric vehicle,3,-0.010314387,0.006624177,0.046360783
automobile parts,automobile parts,automobile part,3,-0.013123023,0.010819649,0.05084795
